time,pmatrix_db_low,pmatrix_db_high,pmatrix_no_db_low,pmatrix_no_db_high,fssh_low,fssh_high,ehrenfest_low,ehrenfest_high,boltzmann_high
1972.0,0.7386765980843448,0.26132340191565523,0.4837637371283916,0.5162362628716085,0.6875,0.3125,0.728767021085764,0.27123297891425124,0.10859564580706031
1974.0,0.7389649872855174,0.26103501271448265,0.48382376842636815,0.5161762315736318,0.6875,0.3125,0.7307914246491719,0.2692085753508434,0.10859564580706031
1976.0,0.7392528319337027,0.2607471680662974,0.48388357776662255,0.5161164222333774,0.6875,0.3125,0.7327893673976842,0.26721063260233124,0.10859564580706031
1978.0,0.7395401330571603,0.2604598669428398,0.4839431659698224,0.5160568340301775,0.6875,0.3125,0.7347606895353866,0.26523931046462895,0.10859564580706031
1980.0,0.739826891682208,0.26017310831779195,0.48400253385360087,0.5159974661463991,0.6875,0.3125,0.7367052333956565,0.26329476660435924,0.10859564580706031
1982.0,0.740113108833226,0.259886891166774,0.48406168223256796,0.5159383177674322,0.6875,0.3125,0.7386228434537659,0.26137715654625004,0.10859564580706031
1984.0,0.7403987855326596,0.2596012144673404,0.4841206119183213,0.5158793880816788,0.71875,0.28125,0.7405133663393141,0.2594866336607023,0.10859564580706031
1986.0,0.7406839228010237,0.25931607719897637,0.4841793237194578,0.5158206762805422,0.71875,0.28125,0.7423766508484868,0.2576233491515295,0.10859564580706031
1988.0,0.740968521656906,0.25903147834309415,0.4842378184415846,0.5157621815584154,0.71875,0.28125,0.7442125479561436,0.2557874520438727,0.10859564580706031
1990.0,0.7412525831169707,0.2587474168830294,0.48429609688732983,0.5157039031126701,0.75,0.25,0.7460209108277296,0.25397908917228695,0.10859564580706031
1992.0,0.7415361081959625,0.2584638918040376,0.484354159856354,0.5156458401436461,0.75,0.25,0.747801594831013,0.25219840516900355,0.10859564580706031
1994.0,0.7418190979067096,0.2581809020932905,0.48441200814536056,0.5155879918546395,0.75,0.25,0.7495544575476467,0.25044554245236994,0.10859564580706031
1996.0,0.7421015532601279,0.25789844673987217,0.4844696425481073,0.5155303574518928,0.75,0.25,0.7512793587845519,0.24872064121546505,0.10859564580706031
1998.0,0.7423834752652243,0.2576165247347758,0.4845270638554171,0.515472936144583,0.75,0.25,0.7529761605851237,0.247023839414893,0.10859564580706031
2000.0,0.7426648649291002,0.2573351350708999,0.4845842728551885,0.5154157271448115,0.75,0.25,0.7546447272402605,0.245355272759756,0.10859564580706031
2002.0,0.7429457232569555,0.2570542767430446,0.48464127033240695,0.5153587296675931,0.75,0.25,0.7562849252992099,0.2437150747008067,0.10859564580706031
2004.0,0.7432260512520918,0.2567739487479082,0.4846980570691552,0.5153019429308449,0.78125,0.21875,0.7578966235802362,0.2421033764197802,0.10859564580706031
2006.0,0.7435058499159164,0.25649415008408366,0.4847546338446243,0.5152453661553758,0.8125,0.1875,0.7594796931811072,0.2405203068189092,0.10859564580706031
2008.0,0.7437851202479452,0.2562148797520548,0.4848110014351242,0.5151889985648759,0.8125,0.1875,0.7610340074893964,0.23896599251062,0.10859564580706031
2010.0,0.7440638632458071,0.2559361367541929,0.4848671606140943,0.5151328393859058,0.8125,0.1875,0.7625594421926043,0.23744055780741224,0.10859564580706031
2012.0,0.7443420799052469,0.2556579200947531,0.48492311215211426,0.5150768878478859,0.8125,0.1875,0.7640558752880946,0.23594412471192214,0.10859564580706031
2014.0,0.7446197712201293,0.25538022877987065,0.4849788568169145,0.5150211431830856,0.8125,0.1875,0.7655231870928462,0.23447681290717062,0.10859564580706031
2016.0,0.7448969381824422,0.25510306181755776,0.48503439537338666,0.5149656046266133,0.8125,0.1875,0.7669612602530197,0.23303873974699688,0.10859564580706031
2018.0,0.7451735817823002,0.25482641821769975,0.4850897285835942,0.5149102714164058,0.8125,0.1875,0.7683699797533383,0.23163002024667848,0.10859564580706031
2020.0,0.7454497030079485,0.2545502969920515,0.4851448572067829,0.5148551427932171,0.8125,0.1875,0.7697492329262796,0.2302507670737372,0.10859564580706031
2022.0,0.745725302845766,0.254274697154234,0.485199781999391,0.514800218000609,0.8125,0.1875,0.7710989094610827,0.22890109053893418,0.10859564580706031
2024.0,0.7460003822802691,0.25399961771973095,0.48525450371505996,0.5147454962849402,0.8125,0.1875,0.7724189014125649,0.22758109858745232,0.10859564580706031
2026.0,0.7462749422941151,0.25372505770588505,0.4853090231046445,0.5146909768953556,0.8125,0.1875,0.7737091032097493,0.22629089679026815,0.10859564580706031
2028.0,0.7465489838681055,0.25345101613189447,0.4853633409162232,0.5146366590837769,0.8125,0.1875,0.7749694116643038,0.22503058833571363,0.10859564580706031
2030.0,0.7468225079811903,0.2531774920188096,0.4854174578951084,0.5145825421048916,0.8125,0.1875,0.7761997259787893,0.22380027402122787,0.10859564580706031
2032.0,0.7470955156104706,0.2529044843895294,0.48547137478385677,0.5145286252161433,0.8125,0.1875,0.7773999477547153,0.22260005224530177,0.10859564580706031
2034.0,0.7473680077312024,0.2526319922687977,0.48552509232227936,0.5144749076777207,0.8125,0.1875,0.7785699810004052,0.22143001899961148,0.10859564580706031
